Client,Library,Old Version,New Version,Error Type
HikariCP,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Error Only
HikariCP,org.apache.logging.log4j:log4j-core,2.11.1,2.12.1,Fail + Error
quickfixj,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Fail Only
quickfixj,org.slf4j:slf4j-jdk14,1.7.25,2.0.0-alpha1,Fail Only
openscoring,org.glassfish.jersey.media:jersey-media-multipart,2.27,2.29.1,Error Only
openscoring,org.glassfish.jersey.core:jersey-client,2.27,2.29.1,Error Only
openscoring,com.google.guava:guava,27.0-jre,28.2-jre,Error Only
openscoring,org.jpmml:pmml-evaluator-extension,1.4.4,1.4.14,Error Only
openscoring,org.glassfish.jersey.core:jersey-server,2.27,2.29.1,Error Only
byte-buddy,org.apache.maven:maven-core,3.2.5,3.6.2,Error Only
java-driver,org.slf4j:slf4j-api,1.7.26,2.0.0-alpha1,Error Only
java-driver,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Error Only
Cerberus,com.fasterxml.jackson.core:jackson-databind,2.5.3,2.10.1,Error Only
dble,org.apache.curator:curator-recipes,2.11.0,4.2.0,Fail Only
dble,org.apache.curator:curator-framework,2.11.0,4.2.0,Fail Only
dble,com.google.guava:guava,19.0,28.2-jre,Fail Only
dble,com.alibaba:druid,1.1.14,1.1.21,Fail Only
photon,org.elasticsearch.plugin:transport-netty4-client,5.5.0,7.5.1,Error Only
photon,org.elasticsearch.client:transport,5.5.0,7.5.1,Error Only
photon,org.apache.logging.log4j:log4j-slf4j-impl,2.8.2,2.13.0,Error Only
photon,org.openstreetmap.osmosis:osmosis-hstore-jdbc,0.43.1,0.47,Error Only
photon,org.springframework:spring-jdbc,4.0.0.RELEASE,5.2.2.RELEASE,Error Only
storm-crawler,org.apache.storm:storm-core,1.2.2,2.1.0,Error Only
storm-crawler,com.fasterxml.jackson.core:jackson-databind,2.8.11.3,2.10.1,Fail + Error
jitsi-videobridge,org.easymock:easymock,3.4,4.1,Error Only
javaparser,org.junit.jupiter:junit-jupiter-params,5.3.1,5.6.0-M1,Error Only
zt-exec,org.slf4j:slf4j-api,1.7.2,2.0.0-alpha1,Fail Only
zt-exec,ch.qos.logback:logback-classic,1.1.2,1.3.0-alpha5,Fail Only
servicecomb-pack,io.github.openfeign:feign-core,9.5.1,10.7.0,Error Only
servicecomb-pack,com.typesafe.akka:akka-actor_2.12,2.5.14,2.6.1,Error Only
servicecomb-pack,org.apache.logging.log4j:log4j-slf4j-impl,2.7,2.13.0,Error Only
servicecomb-pack,io.grpc:grpc-protobuf,1.14.0,1.26.0,Error Only
servicecomb-pack,org.slf4j:slf4j-simple,1.7.25,2.0.0-alpha1,Error Only
servicecomb-pack,org.apache.servicecomb.pack:alpha-core,0.4.0,0.5.0,Error Only
servicecomb-pack,org.apache.logging.log4j:log4j-core,2.7,2.13.0,Error Only
servicecomb-pack,org.apache.logging.log4j:log4j-api,2.7,2.13.0,Error Only
servicecomb-pack,io.netty:netty-common,4.1.24.Final,5.0.0.Alpha2,Error Only
servicecomb-pack,org.apache.servicecomb.pack:omega-transaction,0.4.0,0.5.0,Fail + Error
querydsl,org.hsqldb:hsqldb,2.3.2,2.5.0,Fail + Error
querydsl,org.mongodb:mongo-java-driver,3.5.0,3.12.0,Fail Only
querydsl,org.hibernate:hibernate-entitymanager,4.3.11.Final,6.0.0.Alpha3,Error Only
querydsl,org.apache.lucene:lucene-core,3.6.2,8.3.1,Error Only
querydsl,org.apache.derby:derby,10.11.1.1,10.15.1.3,Error Only
querydsl,org.hibernate:hibernate-validator,4.3.1.Final,6.1.0.Final,Error Only
querydsl,org.reflections:reflections,0.9.9,0.9.11,Error Only
querydsl,org.datanucleus:datanucleus-rdbms,3.2.0-release,5.2.1,Error Only
querydsl,com.h2database:h2,1.4.186,1.4.200,Error Only
querydsl,org.xerial:sqlite-jdbc,3.7.2,3.28.0,Error Only
OWASP-WebScarab,org.bouncycastle:bcprov-jdk15on,1.48,1.64,Error Only
killbill,org.eclipse.jetty:jetty-util,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,org.awaitility:awaitility,2.0.0,4.0.1,Fail Only
killbill,org.kill-bill.commons:killbill-skeleton,0.22.3,0.23.5,Fail Only
killbill,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Fail Only
killbill,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Fail Only
killbill,com.google.inject:guice,4.1.0,4.2.2,Fail Only
killbill,org.kill-bill.commons:killbill-clock,0.22.3,0.23.5,Fail Only
killbill,com.sun.jersey:jersey-server,1.19.3,1.19.4,Fail Only
killbill,org.redisson:redisson,3.8.2,3.11.6,Fail Only
killbill,io.dropwizard.metrics:metrics-logback,3.2.2,4.1.2,Fail Only
killbill,org.kill-bill.commons:killbill-queue,0.22.3,0.23.5,Fail Only
killbill,org.kill-bill.commons:killbill-locker,0.22.3,0.23.5,Fail Only
killbill,org.eclipse.jetty:jetty-deploy,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,javax.cache:cache-api,1.0.0,1.1.1,Fail Only
killbill,org.kill-bill.billing:killbill-client-java,1.0.6,1.1.9,Fail Only
killbill,org.kill-bill.commons:killbill-concurrent,0.22.3,0.23.5,Fail Only
killbill,org.apache.shiro:shiro-web,1.3.2,1.4.2,Fail Only
killbill,org.slf4j:slf4j-simple,1.7.25,2.0.0-alpha1,Fail Only
killbill,org.apache.shiro:shiro-guice,1.3.2,1.4.2,Fail Only
killbill,mysql:mysql-connector-java,5.1.33,8.0.18,Fail Only
killbill,org.kill-bill.billing:killbill-beatrix,0.20.14,0.21.7,Fail Only
killbill,com.palominolabs.metrics:metrics-guice,3.2.1,4.0.0,Fail Only
killbill,io.airlift:units,1.0,1.4,Fail Only
killbill,org.kill-bill.billing:killbill-platform-lifecycle,0.38.3,0.39.8,Fail Only
killbill,com.google.guava:guava,26.0-jre,28.1-jre,Fail Only
killbill,org.kill-bill.commons:killbill-xmlloader,0.22.3,0.23.5,Fail Only
killbill,org.kill-bill.commons:killbill-embeddeddb-mysql,0.22.3,0.23.5,Fail Only
killbill,org.joda:joda-money,0.9,1.0.1,Fail Only
killbill,org.kill-bill.billing:killbill-util,0.20.14,0.21.7,Fail Only
killbill,org.eclipse.jetty:jetty-server,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,org.slf4j:jcl-over-slf4j,1.7.25,2.0.0-alpha1,Fail Only
killbill,com.sun.jersey.contribs:jersey-guice,1.19.3,1.19.4,Fail Only
killbill,com.fasterxml.jackson.core:jackson-core,2.9.7,2.10.1,Fail Only
killbill,org.kill-bill.billing:killbill-platform-base,0.38.3,0.39.8,Fail Only
killbill,org.flywaydb:flyway-core,4.0,6.1.2,Fail Only
killbill,org.mariadb.jdbc:mariadb-java-client,1.7.2,2.5.2,Fail Only
killbill,org.ehcache:ehcache,3.3.1,3.8.1,Fail Only
killbill,org.ehcache:ehcache-clustered,3.3.1,3.8.1,Fail Only
killbill,io.swagger:swagger-jersey-jaxrs,1.5.21,1.6.0,Fail Only
killbill,org.kill-bill.billing:killbill-jaxrs,0.20.14,0.21.7,Fail Only
killbill,org.kill-bill.billing:killbill-platform-test,0.38.3,0.39.8,Fail Only
killbill,com.fasterxml.jackson.core:jackson-databind,2.9.7,2.10.1,Fail Only
killbill,org.kill-bill.commons:killbill-embeddeddb-h2,0.22.3,0.23.5,Fail Only
killbill,org.testng:testng,6.14.3,7.1.0,Fail Only
killbill,org.codehaus.janino:janino,2.5.16,3.1.0,Fail Only
killbill,org.kill-bill.billing:killbill-platform-osgi,0.38.3,0.39.8,Fail Only
killbill,com.fasterxml.jackson.core:jackson-annotations,2.9.7,2.10.1,Fail Only
killbill,org.kill-bill.billing:killbill-catalog,0.20.14,0.21.7,Fail Only
killbill,ch.qos.logback:logback-core,1.2.3,1.3.0-alpha5,Fail Only
killbill,org.kill-bill.billing:killbill-usage,0.20.14,0.21.7,Fail Only
killbill,org.kill-bill.commons:killbill-embeddeddb-common,0.22.3,0.23.5,Fail Only
killbill,org.antlr:ST4,4.0.8,4.2,Fail Only
killbill,org.kill-bill.billing:killbill-internal-api,0.20.14,0.21.7,Fail Only
killbill,com.google.inject.extensions:guice-multibindings,4.1.0,4.2.2,Fail Only
killbill,org.weakref:jmxutils,1.19,1.21,Fail Only
killbill,org.kill-bill.commons:killbill-jdbi,0.22.3,0.23.5,Fail Only
killbill,com.samskivert:jmustache,1.5,1.15,Fail Only
killbill,org.kill-bill.billing:killbill-api,0.52.0,0.53.15,Fail Only
killbill,com.google.inject.extensions:guice-servlet,4.1.0,4.2.2,Fail Only
killbill,io.dropwizard.metrics:metrics-servlet,3.2.2,4.1.2,Fail Only
killbill,org.kill-bill.billing:killbill-platform-server,0.38.3,0.39.8,Fail Only
killbill,io.dropwizard.metrics:metrics-core,3.2.2,4.1.2,Fail Only
killbill,org.eclipse.jetty:jetty-http,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,org.kill-bill.billing:killbill-subscription,0.20.14,0.21.7,Fail Only
killbill,org.eclipse.jetty:jetty-jmx,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,org.apache.shiro:shiro-core,1.3.2,1.4.2,Fail Only
killbill,org.kill-bill.billing:killbill-tenant,0.20.14,0.21.7,Fail Only
killbill,org.kill-bill.billing:killbill-platform-osgi-api,0.38.3,0.39.8,Fail Only
killbill,io.dropwizard.metrics:metrics-jcache,3.2.2,4.1.2,Fail Only
killbill,org.eclipse.jetty:jetty-servlet,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,org.eclipse.jetty:jetty-xml,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,org.eclipse.jetty:jetty-io,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,io.swagger:swagger-jaxrs,1.5.21,1.6.0,Fail Only
killbill,io.swagger:swagger-models,1.5.21,2.0.0-rc2,Fail Only
killbill,org.kill-bill.commons:killbill-metrics,0.22.3,0.23.5,Fail Only
killbill,org.kill-bill.billing:killbill-platform-api,0.38.3,0.39.8,Fail Only
killbill,org.kill-bill.billing:killbill-profiles-killbill,0.20.14,0.21.7,Fail Only
killbill,org.kill-bill.billing:killbill-account,0.20.14,0.21.7,Fail Only
nifty,com.google.inject.extensions:guice-multibindings,4.0,4.2.2,Fail Only
kafka-streams-machine-learning-examples,io.confluent:kafka-schema-registry,5.3.0,5.3.2,Error Only
kafka-streams-machine-learning-examples,org.apache.kafka:kafka-streams,2.3.0,5.3.1-ce,Error Only
kafka-streams-machine-learning-examples,org.deeplearning4j:deeplearning4j-core,1.0.0-beta3,1.0.0-beta6,Error Only
kafka-streams-machine-learning-examples,org.nd4j:nd4j-native-platform,1.0.0-beta3,1.0.0-beta6,Error Only
openapi-generator,io.swagger.core.v3:swagger-core,2.0.9,2.1.0,Fail Only
openapi-generator,org.jmockit:jmockit,1.46,1.48,Fail Only
ddd-leaven-v2,org.springframework:spring-tx,4.2.6.RELEASE,5.2.2.RELEASE,Error Only
ddd-leaven-v2,org.springframework:spring-test,4.2.6.RELEASE,5.2.2.RELEASE,Error Only
ddd-leaven-v2,org.springframework:spring-orm,4.2.6.RELEASE,5.2.2.RELEASE,Error Only
ddd-leaven-v2,org.hibernate:hibernate-entitymanager,4.2.0.Final,6.0.0.Alpha4,Error Only
spotify-apollo,org.slf4j:slf4j-api,1.7.28,2.0.0-alpha1,Fail Only
SpringMVC,com.baomidou:mybatis-plus-boot-starter,3.2.0,3.3.0,Error Only
client_java,org.springframework:spring-web,4.3.9.RELEASE,5.2.2.RELEASE,Error Only
client_java,org.springframework:spring-aop,4.3.9.RELEASE,5.2.2.RELEASE,Error Only
client_java,org.springframework:spring-context,4.3.9.RELEASE,5.2.2.RELEASE,Error Only
jitwatch,ch.qos.logback:logback-core,1.2.3,1.3.0-alpha5,Error Only
picasso2-okhttp3-downloader,com.squareup.okhttp3:okhttp,3.0.1,4.3.0,Error Only
picasso2-okhttp3-downloader,com.squareup.okhttp3:mockwebserver,3.0.1,4.3.0,Error Only
jmxtrans,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Fail Only
jmxtrans,org.slf4j:slf4j-log4j12,1.7.25,2.0.0-alpha1,Fail Only
jmxtrans,com.google.inject:guice,4.1.0,4.2.2,Error Only
jmxtrans,com.fasterxml.jackson.core:jackson-databind,2.8.9,2.10.1,Error Only
jmxtrans,com.fasterxml.jackson.module:jackson-module-guice,2.8.9,2.10.1,Error Only
ea-async,org.ow2.asm:asm-util,6.2.1,7.2,Error Only
ea-async,org.ow2.asm:asm-tree,6.2.1,7.2,Error Only
ea-async,org.ow2.asm:asm,6.2.1,7.2,Error Only
aws-sdk-java-v2,io.netty:netty-transport,4.1.42.Final,5.0.0.Alpha2,Error Only
aws-sdk-java-v2,io.netty:netty-common,4.1.42.Final,5.0.0.Alpha2,Error Only
aws-sdk-java-v2,io.netty:netty-codec,4.1.42.Final,5.0.0.Alpha2,Fail + Error
aws-sdk-java-v2,io.netty:netty-codec-http,4.1.42.Final,5.0.0.Alpha2,Fail + Error
aws-sdk-java-v2,io.netty:netty-buffer,4.1.42.Final,5.0.0.Alpha2,Fail + Error
aws-sdk-java-v2,com.github.tomakehurst:wiremock,2.18.0,2.25.1,Fail Only
FakeSMTP,org.subethamail:subethasmtp,3.1.6,3.1.7,Error Only
logbook,org.slf4j:slf4j-api,1.7.29,2.0.0-alpha1,Fail + Error
logbook,org.springframework:spring-test,5.2.1.RELEASE,5.2.2.RELEASE,Fail Only
logstash-logback-encoder,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Error Only
logstash-logback-encoder,ch.qos.logback:logback-access,1.2.3,1.3.0-alpha5,Error Only
logstash-logback-encoder,ch.qos.logback:logback-core,1.2.3,1.3.0-alpha5,Error Only
incubator-pinot,commons-configuration:commons-configuration,1.6,2.0-RCT,Fail Only
incubator-pinot,org.glassfish.jersey.media:jersey-media-multipart,2.28,2.29.1,Fail Only
incubator-pinot,nl.jqno.equalsverifier:equalsverifier,1.7.2,3.1.10,Fail Only
incubator-pinot,com.google.guava:guava,20.0,28.1-jre,Fail Only
incubator-pinot,it.unimi.dsi:fastutil,6.5.16,8.3.0,Fail Only
incubator-pinot,com.microsoft.azure:azure-data-lake-store-sdk,2.1.5,2.3.8,Fail Only
incubator-pinot,org.apache.thrift:libthrift,0.9.1,0.13.0,Fail Only
incubator-pinot,com.fasterxml.jackson.core:jackson-databind,2.9.8,2.10.1,Fail Only
incubator-pinot,org.scala-lang:scala-library,2.10.5,2.13.1,Fail Only
incubator-pinot,io.netty:netty,3.9.6.Final,4.0.0.Alpha8,Fail Only
incubator-pinot,io.netty:netty-all,4.1.28.Final,5.0.0.Alpha2,Fail Only
incubator-pinot,commons-logging:commons-logging,1.2,99.0-does-not-exist,Fail Only
map-matching,org.slf4j:slf4j-api,1.7.26,2.0.0-alpha1,Error Only
map-matching,io.dropwizard:dropwizard-core,1.3.12,2.0.0,Error Only
map-matching,io.dropwizard:dropwizard-testing,1.3.12,2.0.0,Error Only
enunciate,io.swagger:swagger-annotations,1.5.22,2.0.0-rc2,Error Only
enunciate,commons-collections:commons-collections,3.2.2,20040616,Error Only
enunciate,com.fasterxml.jackson.core:jackson-databind,2.9.9.2,2.10.1,Error Only
owner,org.apache.curator:curator-test,2.6.0,4.2.0,Error Only
druid,org.javasimon:javasimon-spring,4.1.1,4.2.0,Fail Only
druid,org.slf4j:slf4j-api,1.7.9,2.0.0-alpha1,Fail + Error
druid,org.postgresql:postgresql,42.2.6,42.2.9.jre7,Fail Only
druid,org.mybatis:mybatis-spring,1.3.0,2.0.3,Fail Only
druid,com.aliyun.odps:odps-sdk-udf,0.17.3,0.32.5-public,Fail Only
druid,com.aliyun.odps:odps-jdbc,1.6,3.0.2,Fail Only
druid,javax.servlet:javax.servlet-api,3.1.0,4.0.1,Fail Only
druid,org.apache.kylin:kylin-jdbc,2.0.0,3.0.0-alpha2,Fail Only
druid,net.sourceforge.jtds:jtds,1.3.0,1.3.1,Fail Only
druid,org.hibernate:hibernate-core,5.1.0.Final,6.0.0.Alpha3,Fail + Error
druid,com.google.guava:guava,22.0,28.1-jre,Fail Only
druid,org.hibernate:hibernate-c3p0,5.1.0.Final,6.0.0.Alpha3,Fail Only
druid,org.apache.commons:commons-dbcp2,2.5.0,2.7.0,Fail Only
druid,org.apache.logging.log4j:log4j-core,2.5,2.13.0,Fail Only
druid,log4j:log4j,1.2.17,1.2.17-atlassian-1,Fail Only
druid,org.springframework:spring-beans,4.3.20.RELEASE,5.2.2.RELEASE,Error Only
druid,org.mybatis:mybatis,3.4.0,3.5.3,Fail Only
druid,org.apache.derby:derby,10.12.1.1,10.15.1.3,Error Only
druid,org.nutz:nutz,1.r.55,1.r.68.v20191031,Fail Only
druid,com.alibaba:fastjson,1.2.36,1.2.62,Fail Only
druid,org.quartz-scheduler:quartz,2.2.2,2.3.2,Fail Only
druid,org.antlr:antlr4,4.7,4.7.2,Fail Only
druid,org.slf4j:slf4j-log4j12,1.7.9,2.0.0-alpha1,Fail + Error
druid,org.javasimon:javasimon-javaee,4.1.1,4.2.0,Fail Only
druid,org.springframework:spring-core,4.3.20.RELEASE,5.2.2.RELEASE,Fail + Error
druid,org.apache.tomcat:tomcat-jdbc,8.0.32,9.0.30,Fail Only
graphql-spqr,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Error Only
graphql-spqr,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Error Only
junit-quickcheck,ognl:ognl,3.1.12,3.2.12,Fail + Error
junit-quickcheck,com.pholser:junit-quickcheck-core,0.8.2,0.9,Fail Only
junit-quickcheck,ru.vyarus:generics-resolver,2.0.1,3.0.1,Fail Only
docker-java,ch.qos.logback:logback-core,1.2.3,1.3.0-alpha5,Error Only
objectify,com.google.appengine:appengine-api-1.0-sdk,1.9.24,1.9.77,Fail Only
objectify,com.google.appengine:appengine-api-stubs,1.9.24,1.9.77,Fail Only
objectify,com.google.appengine:appengine-testing,1.9.24,1.9.77,Fail Only
reflectasm,org.ow2.asm:asm,5.1,7.2,Error Only
flowable-engine,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Fail Only
flowable-engine,org.slf4j:slf4j-log4j12,1.7.25,2.0.0-alpha1,Fail Only
flowable-engine,org.flowable:flowable-process-validation,6.4.1,6.4.2,Error Only
flowable-engine,org.flowable:flowable-cmmn-converter,6.4.1,6.4.2,Fail + Error
flowable-engine,org.flowable:flowable-bpmn-converter,6.4.1,6.4.2,Fail + Error
flowable-engine,org.flowable:flowable-engine-common,6.4.1,6.4.2,Error Only
flowable-engine,org.flowable:flowable-idm-engine,6.4.1,6.4.2,Fail + Error
flowable-engine,org.hibernate:hibernate-core,5.2.16.Final,6.0.0.Alpha3,Fail Only
flowable-engine,org.tinyjee.jgraphx:jgraphx,1.10.4.1,3.4.1.3,Error Only
flowable-engine,org.springframework:spring-beans,5.0.12.RELEASE,5.2.2.RELEASE,Fail + Error
flowable-engine,com.fasterxml.jackson.core:jackson-databind,2.9.8,2.10.1,Fail + Error
flowable-engine,org.drools:drools-compiler,7.6.0.Final,7.31.0.Final,Error Only
flowable-engine,org.drools:drools-core,7.6.0.Final,7.31.0.Final,Error Only
flowable-engine,com.h2database:h2,1.4.197,1.4.200,Fail + Error
retrofit,com.squareup.wire:wire-runtime,2.2.0,3.0.2,Error Only
retrofit,com.squareup.moshi:moshi,1.8.0,1.9.2,Fail Only
retrofit,com.squareup.okhttp3:okhttp,3.12.0,4.2.2,Error Only
geotools,systems.uom:systems-common-java8,0.7.2,1.0,Fail + Error
geotools,picocontainer:picocontainer,1.2,20051006.1,Error Only
geotools,edu.ucar:cdm,4.6.11,5.1.0,Error Only
geotools,commons-collections:commons-collections,3.2.2,20040616,Error Only
geotools,commons-logging:commons-logging,1.1.1,1.2,Fail Only
modelmapper,com.squareup.dagger:dagger,1.0.1,1.2.5,Fail Only
modelmapper,com.fasterxml.jackson.core:jackson-core,2.2.1,2.10.1,Fail Only
modelmapper,com.fasterxml.jackson.core:jackson-databind,2.2.1,2.10.1,Fail Only
reactive-grpc,io.grpc:grpc-core,1.19.0,1.26.0,Fail Only
metrics-spring,org.springframework:spring-test,4.1.6.RELEASE,5.2.2.RELEASE,Error Only
metrics-spring,org.springframework:spring-aop,4.1.6.RELEASE,5.2.2.RELEASE,Error Only
metrics-spring,org.springframework:spring-beans,4.1.6.RELEASE,5.2.2.RELEASE,Error Only
metrics-spring,org.springframework:spring-core,4.1.6.RELEASE,5.2.2.RELEASE,Error Only
metrics-spring,io.dropwizard.metrics:metrics-graphite,3.1.2,4.1.2,Error Only
