Client,Library,Old Version,New Version,Error Type
jafka,com.fasterxml.jackson.core:jackson-databind,2.9.6,2.10.1,Error Only
nanohttpd,org.apache.httpcomponents:httpclient,4.2.5,4.5.10,Fail Only
nanohttpd,org.apache.httpcomponents:httpmime,4.2.5,4.5.10,Error Only
pippo,org.jboss.weld.se:weld-se,2.3.1.Final,3.0.0.Alpha1,Error Only
pippo,ro.pippo:pippo-undertow,1.11.0,1.12.0,Error Only
pippo,org.infinispan:infinispan-core,8.2.2.Final,10.1.0.Final,Error Only
mybatis-3,org.slf4j:slf4j-api,1.7.26,2.0.0-alpha1,Error Only
mybatis-3,org.slf4j:slf4j-log4j12,1.7.26,2.0.0-alpha1,Error Only
mybatis-3,org.apache.derby:derby,10.14.2.0,10.15.1.3,Fail + Error
guice,cglib:cglib,3.2.8,3.3.0,Fail + Error
jersey,org.eclipse.jetty:jetty-util,9.4.3.v20170317,10.0.0-alpha0,Fail + Error
jersey,org.eclipse.jetty:jetty-server,9.4.3.v20170317,10.0.0-alpha0,Fail + Error
jersey,org.osgi:org.osgi.core,4.2.0,6.0.0,Fail Only
jersey,org.glassfish.grizzly:grizzly-http-client,1.13,1.16,Error Only
jersey,org.glassfish.grizzly:grizzly-http-server,2.4.0,2.4.4,Error Only
jersey,org.glassfish.grizzly:grizzly-http-servlet,2.4.0,2.4.4,Fail + Error
jersey,javax.servlet:javax.servlet-api,3.0.1,4.0.1,Error Only
jersey,javax.servlet:servlet-api,2.4,3.0-alpha-1,Fail Only
jersey,org.glassfish.jersey.inject:jersey-hk2,2.26,2.29.1,Error Only
jersey,org.glassfish.jersey.core:jersey-client,2.26,2.29.1,Fail + Error
jersey,org.glassfish.jersey.core:jersey-common,2.26,2.29.1,Error Only
jersey,org.glassfish.jersey.media:jersey-media-jaxb,2.26,2.29.1,Fail + Error
jersey,org.glassfish.jersey.core:jersey-server,2.26,2.29.1,Fail + Error
jersey,org.jmockit:jmockit,1.18,1.48,Fail + Error
jersey,javax.validation:validation-api,1.1.0.Final,2.0.1.Final,Error Only
jersey,org.apache.httpcomponents:httpclient,4.5,4.5.10,Fail + Error
jersey,javax.persistence:persistence-api,1.0,1.0.2,Error Only
jersey,org.glassfish.hk2:osgi-resource-locator,1.0.1,2.5.0-b42,Error Only
jersey,javax.annotation:javax.annotation-api,1.2,1.3.2,Error Only
jersey,io.netty:netty-all,4.1.5.Final,5.0.0.Alpha2,Fail + Error
jersey,javax.ws.rs:javax.ws.rs-api,2.1,2.1.1,Fail Only
moshi,com.github.tschuchortdev:kotlin-compile-testing,1.2.3,1.2.5,Fail Only
rxjava-jdbc,com.h2database:h2,1.4.192,1.4.200,Fail Only
Argus,javax.mail:mail,1.4.7,1.5.0-b01,Fail Only
Argus,org.apache.httpcomponents:httpcore,4.4.9,4.4.12,Fail + Error
Argus,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Error Only
Argus,com.google.inject:guice,4.0,4.2.2,Fail + Error
Argus,javax.servlet:javax.servlet-api,4.0.0,4.0.1,Fail Only
Argus,org.apache.curator:curator-client,2.10.0,4.2.0,Fail Only
Argus,org.glassfish.jersey.inject:jersey-hk2,2.26,2.29.1,Fail + Error
Argus,org.apache.hbase:hbase-client,1.4.2,2.2.2,Fail + Error
Argus,org.apache.curator:curator-x-discovery,2.10.0,4.2.0,Fail Only
Argus,org.glassfish.jersey.core:jersey-common,2.26,2.29.1,Fail Only
Argus,org.apache.derby:derbyclient,10.12.1.1,10.15.1.3,Fail Only
Argus,com.google.guava:guava,23.0,28.2-jre,Fail Only
Argus,org.apache.zookeeper:zookeeper,3.4.10,3.5.6,Fail + Error
Argus,com.googlecode.concurrent-trees:concurrent-trees,2.6.0,2.6.1,Fail Only
Argus,com.yammer.metrics:metrics-core,2.2.0,3.0.0-c0c8be71,Error Only
Argus,org.apache.curator:curator-framework,2.11.1,4.2.0,Fail Only
Argus,org.apache.httpcomponents:httpclient,4.5.3,4.5.10,Fail + Error
Argus,org.quartz-scheduler:quartz-jobs,2.2.2,2.3.2,Fail + Error
Argus,com.google.inject.extensions:guice-persist,4.0,4.2.2,Fail + Error
Argus,com.salesforce.argus:argus-core,2.19.0,2.22.0,Fail + Error
Argus,org.eclipse.persistence:eclipselink,2.6.4,2.7.5,Fail Only
Argus,com.google.code.gson:gson,2.5,2.8.6,Fail + Error
Argus,net.openhft:zero-allocation-hashing,0.8,0.10.1,Fail + Error
Argus,com.fasterxml.jackson.core:jackson-databind,2.9.5,2.10.1,Error Only
Argus,io.jsonwebtoken:jjwt,0.9.0,0.9.1,Fail + Error
Argus,org.apache.derby:derby,10.12.1.1,10.15.1.3,Fail + Error
Argus,com.fasterxml.jackson.core:jackson-annotations,2.9.5,2.10.1,Fail + Error
Argus,ch.qos.logback:logback-core,1.2.3,1.3.0-alpha5,Error Only
Argus,org.antlr:ST4,4.0.7,4.2,Fail + Error
Argus,org.apache.curator:curator-test,2.8.0,4.2.0,Fail + Error
Argus,org.quartz-scheduler:quartz,2.2.2,2.3.2,Fail + Error
Argus,org.hbase:asynchbase,1.8.0,1.8.2,Fail Only
Argus,org.elasticsearch.client:rest,5.5.1,6.0.0-alpha2,Fail + Error
Argus,org.apache.kafka:kafka_2.10,0.8.2.1,0.10.2.3.0.3.0-6,Error Only
Argus,org.scala-lang:scala-library,2.10.5,2.13.1,Error Only
Argus,com.101tec:zkclient,0.3,0.11,Fail Only
Argus,com.fasterxml.jackson.jaxrs:jackson-jaxrs-base,2.9.5,2.10.2,Fail + Error
Argus,com.salesforce.argus:argus,2.19.0,2.22.0,Fail + Error
Argus,org.hibernate:hibernate-jpamodelgen,5.0.6.Final,6.0.0.Alpha4,Fail + Error
Argus,net.sf.jopt-simple:jopt-simple,3.2,6.0-alpha-3,Fail + Error
Argus,com.github.brandtg:stl-java,0.1.1,0.1.2,Fail + Error
signpost,org.apache.httpcomponents:httpclient,4.0.1,4.5.10,Error Only
signpost,oauth.signpost:signpost-core,1.2.1.1,1.2.1.2,Error Only
spring-data-neo4j,javax.interceptor:javax.interceptor-api,1.2.1,3.1,Error Only
spring-data-neo4j,org.hibernate:hibernate-validator,5.1.2.Final,6.1.0.Final,Error Only
cron-utils,org.hibernate:hibernate-validator,5.2.4.Final,6.1.0.Final,Error Only
apk-parser,org.bouncycastle:bcpkix-jdk15on,1.58,1.64,Error Only
rtree,com.esotericsoftware:kryo,3.0.3,5.0.0-RC4,Error Only
artemis-odb,org.ow2.asm:asm-util,5.0.4,7.2,Error Only
artemis-odb,org.ow2.asm:asm-tree,5.0.4,7.2,Error Only
artemis-odb,org.ow2.asm:asm,5.0.4,7.2,Fail + Error
cicada,ch.qos.logback:logback-classic,1.1.11,1.3.0-alpha5,Error Only
cicada,ch.qos.logback:logback-core,1.1.11,1.3.0-alpha5,Error Only
light-4j,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Error Only
light-4j,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Error Only
light-4j,com.networknt:balance,1.6.10,2.0.8,Error Only
light-4j,com.networknt:monad-result,1.6.10,2.0.8,Error Only
light-4j,com.networknt:utility,1.6.10,2.0.8,Error Only
light-4j,com.networknt:decryptor,1.6.10,2.0.8,Error Only
light-4j,com.networknt:switcher,1.6.10,2.0.8,Error Only
light-4j,com.networknt:config,1.6.10,2.0.8,Error Only
light-4j,com.networknt:service,1.6.10,2.0.8,Fail + Error
light-4j,com.networknt:status,1.6.10,2.0.8,Error Only
light-4j,com.networknt:registry,1.6.10,2.0.8,Error Only
light-4j,commons-codec:commons-codec,1.11,20041127.09,Fail Only
light-4j,com.fasterxml.jackson.core:jackson-databind,2.9.10,2.10.1,Error Only
openhtmltopdf,com.openhtmltopdf:openhtmltopdf-core,1.0.0,1.0.1,Fail Only
rocker,org.antlr:antlr4-runtime,4.5.3,4.7.2,Fail Only
lavagna,org.springframework:spring-test,5.0.7.RELEASE,5.2.2.RELEASE,Error Only
lavagna,org.springframework:spring-jdbc,5.0.7.RELEASE,5.2.2.RELEASE,Error Only
lavagna,org.apache.logging.log4j:log4j-core,2.11.0,2.13.0,Error Only
Mybatis-PageHelper,org.mybatis:mybatis,3.4.4,3.5.3,Error Only
togglz,org.mongodb:mongo-java-driver,3.4.0,3.12.0,Error Only
togglz,org.apache.deltaspike.core:deltaspike-core-api,1.7.2,1.9.2,Error Only
togglz,com.github.fakemongo:fongo,2.0.6,2.2.0-RC2,Error Only
togglz,com.google.appengine:appengine-api-1.0-sdk,1.9.38,1.9.77,Error Only
togglz,com.google.appengine:appengine-api-stubs,1.9.38,1.9.77,Error Only
togglz,org.springframework:spring-test,3.2.17.RELEASE,5.2.2.RELEASE,Error Only
togglz,org.springframework:spring-context,3.2.17.RELEASE,5.2.2.RELEASE,Error Only
postgresql-embedded,org.springframework:spring-test,4.3.2.RELEASE,5.2.2.RELEASE,Error Only
postgresql-embedded,org.springframework:spring-beans,4.3.2.RELEASE,5.2.2.RELEASE,Error Only
postgresql-embedded,org.springframework:spring-context,4.3.2.RELEASE,5.2.2.RELEASE,Error Only
postgresql-embedded,org.springframework:spring-core,4.3.2.RELEASE,5.2.2.RELEASE,Error Only
phoenix,org.apache.hbase:hbase-protocol,1.4.10,2.2.2,Error Only
phoenix,org.apache.hbase:hbase-metrics,1.4.10,2.2.2,Error Only
phoenix,com.google.protobuf:protobuf-java,2.5.0,3.11.1,Error Only
phoenix,org.jruby.joni:joni,2.1.2,2.1.30,Error Only
checkstyle,org.jacoco:org.jacoco.agent,0.8.4,0.8.5,Fail + Error
natty,org.mnode.ical4j:ical4j,1.0.2,3.0.11,Error Only
psi-probe,org.apache.tomcat:tomcat-coyote,9.0.27,9.0.30,Error Only
psi-probe,org.apache.tomcat:tomcat-catalina,9.0.27,9.0.30,Fail Only
psi-probe,org.jmockit:jmockit,1.48,1.49,Error Only
gravitee-gateway,io.gravitee.plugin:gravitee-plugin-policy,1.8.0,1.11.0,Error Only
gravitee-gateway,io.gravitee.gateway:gravitee-gateway-http,1.25.17,1.30.1,Fail Only
gravitee-gateway,io.gravitee.alert:gravitee-alert-api,1.1.0,1.2.1,Error Only
gravitee-gateway,io.gravitee.plugin:gravitee-plugin-resource,1.8.0,1.11.0,Error Only
gravitee-gateway,io.gravitee.gateway:gravitee-gateway-policy,1.25.17,1.30.1,Error Only
gravitee-gateway,io.gravitee.definition:gravitee-definition-model,1.18.1,1.20.0,Error Only
gravitee-gateway,io.gravitee.gateway:gravitee-gateway-reactor,1.25.17,1.30.1,Error Only
gravitee-gateway,org.springframework:spring-beans,5.1.5.RELEASE,5.2.2.RELEASE,Error Only
gravitee-gateway,org.springframework:spring-context,5.1.5.RELEASE,5.2.2.RELEASE,Error Only
gravitee-gateway,io.vertx:vertx-circuit-breaker,3.7.1,4.0.0-milestone4,Fail Only
gravitee-gateway,io.vertx:vertx-web,3.7.1,4.0.0-milestone4,Error Only
macrobase,org.apache.logging.log4j:log4j-slf4j-impl,2.10.0,2.13.0,Error Only
macrobase,org.apache.spark:spark-sql_2.11,2.2.1,2.4.4,Error Only
macrobase,org.apache.spark:spark-core_2.11,2.2.1,2.4.4,Error Only
macrobase,com.esotericsoftware:kryo,3.0.3,5.0.0-RC4,Error Only
DotCi,org.mongodb:mongo-java-driver,2.11.0,3.12.0,Fail + Error
DotCi,com.sonyericsson.hudson.plugins.rebuild:rebuild,1.25,1.31,Error Only
jdonframework,org.apache.logging.log4j:log4j-core,2.11.0,2.13.0,Error Only
TLS-Attacker,org.apache.logging.log4j:log4j-core,2.9.0,2.13.0,Fail + Error
dataverse,javax:javaee-api,7.0,8.0.1,Error Only
dataverse,org.junit.jupiter:junit-jupiter-params,5.3.1,5.6.0-M1,Error Only
dataverse,org.junit.jupiter:junit-jupiter-api,5.3.1,5.6.0-M1,Error Only
aws-serverless-java-container,org.hibernate:hibernate-validator,5.4.1.Final,6.1.0.Final,Error Only
citrus,org.springframework:spring-tx,3.2.4.RELEASE,5.2.2.RELEASE,Fail Only
citrus,org.springframework:spring-webmvc,3.2.4.RELEASE,5.2.2.RELEASE,Error Only
citrus,org.springframework:spring-web,3.2.4.RELEASE,5.2.2.RELEASE,Error Only
citrus,org.springframework:spring-test,3.2.4.RELEASE,5.2.2.RELEASE,Error Only
citrus,org.springframework:spring-aop,3.2.4.RELEASE,5.2.2.RELEASE,Fail Only
citrus,org.springframework:spring-beans,3.2.4.RELEASE,5.2.2.RELEASE,Error Only
citrus,org.springframework:spring-context,3.2.4.RELEASE,5.2.2.RELEASE,Error Only
citrus,org.springframework:spring-core,3.2.4.RELEASE,5.2.2.RELEASE,Fail + Error
citrus,com.alibaba.citrus:citrus-webx-all,3.1.5,3.2.4,Fail Only
citrus,org.slf4j:slf4j-api,1.7.5,2.0.0-alpha1,Fail + Error
citrus,ch.qos.logback:logback-classic,1.0.13,1.3.0-alpha5,Fail + Error
citrus,org.slf4j:slf4j-log4j12,1.7.5,2.0.0-alpha1,Fail + Error
citrus,org.httpunit:httpunit,1.7.2,1.7.3,Fail + Error
citrus,org.hamcrest:hamcrest-library,1.1,2.2,Error Only
citrus,org.apache.tomcat:jasper,6.0.37,6.0.53,Fail Only
citrus,javax.mail:mail,1.4.7,1.5.0-b01,Fail Only
citrus,org.freemarker:freemarker,2.3.20,2.3.29,Fail Only
citrus,commons-fileupload:commons-fileupload,1.3,1.4,Fail Only
citrus,xerces:xercesImpl,2.11.0,2.12.0,Fail Only
citrus,cglib:cglib-nodep,2.2.2,3.3.0,Error Only
ebean,com.h2database:h2,1.4.197,1.4.200,Fail Only
elide,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Error Only
elide,ch.qos.logback:logback-core,1.2.3,1.3.0-alpha5,Fail + Error
elide,org.hibernate:hibernate-entitymanager,5.4.2.Final,6.0.0.Alpha4,Fail + Error
elide,com.h2database:h2,1.4.199,1.4.200,Error Only
AthenaX,com.google.guava:guava,20,28.2-jre,Error Only
AthenaX,org.apache.flink:flink-core,1.5.0,1.9.1,Fail + Error
AthenaX,org.apache.hadoop:hadoop-client,2.7.4,3.2.1,Error Only
AthenaX,org.scala-lang:scala-library,2.11.11,2.13.1,Error Only
swift,io.takari.maven.plugins:takari-plugin-testing,2.2.0,2.9.2,Fail Only
galen,com.fasterxml.jackson.core:jackson-databind,2.9.7,2.10.1,Fail Only
YCSB,org.apache.tomcat.embed:tomcat-embed-jasper,8.0.28,9.0.30,Error Only
YCSB,org.apache.tomcat.embed:tomcat-embed-websocket,8.0.28,9.0.30,Error Only
YCSB,org.apache.accumulo:accumulo-minicluster,1.6.6,2.0.0,Error Only
YCSB,org.apache.accumulo:accumulo-core,1.6.6,2.0.0,Error Only
YCSB,org.apache.logging.log4j:log4j-slf4j-impl,2.7,2.13.0,Error Only
YCSB,org.apache.logging.log4j:log4j-core,2.8.2,2.13.0,Error Only
YCSB,org.apache.logging.log4j:log4j-api,2.8.2,2.13.0,Error Only
YCSB,org.slf4j:slf4j-log4j12,1.7.5,2.0.0-alpha1,Error Only
YCSB,org.apache.hbase:hbase-client,1.0.2,2.2.2,Error Only
YCSB,org.apache.zookeeper:zookeeper,3.4.5,3.5.6,Error Only
YCSB,org.apache.hadoop:hadoop-common,2.2.0,3.2.1,Error Only
YCSB,com.orientechnologies:orientdb-client,2.2.37,3.1.0-M3,Fail + Error
YCSB,org.glassfish.jersey.core:jersey-server,2.6,2.29.1,Fail Only
chaos-monkey-spring-boot,org.slf4j:jcl-over-slf4j,1.7.25,2.0.0-alpha1,Error Only
chaos-monkey-spring-boot,org.springframework:spring-aspects,5.1.8.RELEASE,5.2.2.RELEASE,Error Only
rest-assured,org.springframework:spring-webmvc,4.3.23.RELEASE,5.2.2.RELEASE,Fail + Error
rest-assured,org.springframework:spring-test,4.3.23.RELEASE,5.2.2.RELEASE,Fail + Error
rest-assured,org.springframework:spring-webflux,5.1.0.RELEASE,5.2.2.RELEASE,Fail + Error
rest-assured,org.springframework:spring-context,5.1.0.RELEASE,5.2.2.RELEASE,Fail + Error
rest-assured,org.codehaus.groovy:groovy-xml,2.5.6,3.0.0-rc-2,Error Only
rest-assured,org.codehaus.groovy:groovy,2.5.6,3.0.0-rc-2,Fail Only
rest-assured,com.fasterxml.jackson.core:jackson-databind,2.9.9,2.10.1,Error Only
s3proxy,org.apache.jclouds:jclouds-allblobstore,2.1.2,2.2.0,Fail Only
s3proxy,org.apache.jclouds.api:filesystem,2.1.2,2.2.0,Fail Only
s3proxy,org.testng:testng,6.8.21,7.1.0,Fail Only
spring-hateoas,javax.servlet:javax.servlet-api,3.1.0,4.0.1,Error Only
Jest,org.elasticsearch.plugin:reindex-client,6.3.1,7.5.1,Error Only
Jest,org.elasticsearch.plugin:transport-netty4-client,6.3.1,7.5.1,Error Only
Jest,org.elasticsearch.plugin:percolator-client,6.3.1,7.5.1,Error Only
Jest,org.codelibs.elasticsearch.module:lang-painless,6.3.1,7.5.1,Error Only
Jest,org.elasticsearch.plugin:lang-mustache-client,6.3.1,7.5.1,Error Only
Jest,org.apache.lucene:lucene-codecs,7.3.1,8.3.1,Error Only
Jest,org.apache.lucene:lucene-test-framework,7.3.1,8.3.1,Error Only
Jest,org.apache.logging.log4j:log4j-core,2.7,2.13.0,Error Only
Jest,org.apache.logging.log4j:log4j-api,2.7,2.13.0,Error Only
Jest,com.google.guava:guava,21.0,28.1-jre,Error Only
Jest,org.apache.httpcomponents:httpclient,4.5.3,4.5.10,Error Only
Jest,com.google.code.gson:gson,2.8.0,2.8.6,Fail + Error
QRGen,com.google.zxing:core,3.3.0,3.4.0,Error Only
apollo,org.slf4j:slf4j-api,1.7.21,2.0.0-alpha1,Fail Only
apollo,com.google.inject:guice,4.1.0,4.2.2,Error Only
apollo,com.ctrip.framework.apollo:apollo-client,1.4.0,1.5.1,Error Only
apollo,com.google.guava:guava,19.0,28.1-jre,Error Only
apollo,com.h2database:h2,1.4.191,1.4.200,Error Only
apollo,com.squareup.okhttp3:mockwebserver,3.11.0,4.2.2,Error Only
apollo,com.squareup.okhttp3:okhttp,3.11.0,4.2.2,Error Only
xstream,org.codehaus.woodstox:wstx-asl,3.2.7,4.0.6,Fail Only
xstream,joda-time:joda-time,1.6,2.10.5,Fail Only
xstream,org.codehaus.jettison:jettison,1.2,1.4.0,Fail Only
mybatis-generator-gui,ch.qos.logback:logback-classic,1.1.2,1.3.0-alpha5,Error Only
mockserver,org.springframework:spring-test,4.3.18.RELEASE,5.2.2.RELEASE,Fail Only
mockserver,com.fasterxml.jackson.core:jackson-core,2.9.9,2.10.1,Fail Only
mockserver,com.fasterxml.jackson.core:jackson-databind,2.9.9,2.10.1,Fail + Error
mockserver,io.netty:netty-buffer,4.1.35.Final,5.0.0.Alpha2,Fail + Error
mockserver,io.netty:netty-codec,4.1.35.Final,5.0.0.Alpha2,Fail + Error
TwelveMonkeys,org.apache.xmlgraphics:batik-transcoder,1.9,1.12,Error Only
TwelveMonkeys,org.apache.xmlgraphics:batik-svggen,1.9,1.12,Error Only
TwelveMonkeys,org.apache.xmlgraphics:batik-extension,1.9,1.12,Error Only
alexa-skills-kit-sdk-for-java,com.fasterxml.jackson.core:jackson-databind,2.9.10.1,2.10.1,Error Only
isis,org.junit.jupiter:junit-jupiter-api,5.4.1,5.6.0-M1,Error Only
isis,com.fasterxml.jackson.core:jackson-databind,2.9.8,2.10.2,Error Only
isis,org.reflections:reflections,0.9.10,0.9.11,Error Only
immutables,org.elasticsearch.plugin:transport-netty4-client,7.1.0,7.5.1,Error Only
immutables,org.elasticsearch:elasticsearch,7.1.0,7.5.1,Error Only
immutables,org.codelibs.elasticsearch.module:lang-painless,7.1.0,7.5.1,Error Only
immutables,org.immutables:value-processor,2.8.0,2.8.3,Fail Only
immutables,org.immutables:criteria-common,2.8.0,2.8.3,Error Only
immutables,org.glassfish.jersey.core:jersey-client,2.11,2.29.1,Fail Only
immutables,org.hamcrest:hamcrest-library,1.3,2.2,Error Only
immutables,org.junit.jupiter:junit-jupiter-api,5.5.2,5.6.0-M1,Error Only
immutables,org.apache.logging.log4j:log4j-core,2.11.2,2.13.0,Error Only
immutables,com.fasterxml.jackson.core:jackson-databind,2.8.11.3,2.10.1,Error Only
jsprit,commons-configuration:commons-configuration,1.9,1.1,Error Only
wasabi,com.google.inject:guice,4.0,4.2.2,Error Only
wasabi,org.apache.httpcomponents:httpclient,4.5.1,4.5.10,Fail Only
wasabi,com.datastax.cassandra:cassandra-driver-core,3.0.3,4.0.0,Error Only
wasabi,com.datastax.cassandra:cassandra-driver-mapping,3.0.3,3.8.0,Error Only
wasabi,com.fasterxml.jackson.core:jackson-databind,2.7.2,2.10.1,Error Only
exhibitor,org.apache.curator:curator-test,2.7.1,4.2.0,Fail Only
distributed-redis-tool,org.springframework:spring-beans,4.2.1.RELEASE,5.2.2.RELEASE,Error Only
distributed-redis-tool,org.springframework:spring-core,4.2.1.RELEASE,5.2.2.RELEASE,Error Only